2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,,,Malaria,HIV,,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistosomiasis,,,,,Total,,,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,,,Malaria,HIV,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistomasis,,Onchocerciasis,,,,,Total
Antigua and Barbuda,21.31,6.52,0,0,0,0.03,27.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,4.17,0.08,3.19,0.03,0.2,2.65,0.24,0.13,0.21,1.01,0.42,0.02,12.35,,,,,,,,,-,-,-,-,,-,,,-,40.21,,Antigua and Barbuda,3.09,19.7,0,0,0,0,22.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0.33,0,0,0.65,0.24,0.07,0.36,0.76,3.28,,,,,,,,,0,0,0,0,,0,,0,,,0,26.06
Argentina,"15,326.58","15,657.76",0,0,0,25.23,"31,009.56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,,,0,0,,0,0,1.09,1.09,408.49,8.47,307.37,0.79,20.14,271.14,24.33,9.93,12.54,101.78,42.35,0.47,"1,207.82",,,,,,,,,-,-,-,-,,-,,,-,"32,218.47",,Argentina,"2,386.28","15,220.87",77.3,11.97,98.07,15.88,"17,810.38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,925.25",107.75,"1,659.53",3.42,16.2,"2,745.89",994.55,351.02,"1,775.16","3,145.72","14,724.48",,,,,,,,,0,0,0,0,,0,,0,,,0,"32,534.86"
Armenia,70.92,"7,813.62",24.05,3.72,62.78,3.42,"7,978.51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,78.11,0.19,33.1,0.62,33.72,32.86,5.34,1.98,55.33,17.25,0,0,258.5,,,,,,,,,-,-,-,-,,-,,,-,"8,237.01",,Armenia,445.71,"2,842.96",59.94,9.28,100.35,12.88,"3,471.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"3,471.12"
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,-,-,-,-,,-,,,-,0,,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,0
Australia,70.08,"2,955.47",4.14,0.64,6.62,0.23,"3,037.19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,23.33,0.13,9.88,0.18,10.13,9.67,1.53,0.64,16.48,4.95,0,0,76.92,,,,,,,,,-,-,-,-,,-,,,-,"3,114.10",,Australia,158.76,"1,012.67",7.5,1.16,14.77,0.84,"1,195.71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.35,0.38,11.69,0.01,0.05,21.92,7.96,2.33,12.68,25.25,111.61,,,,,,,,,0,0,0,0,,0,,0,,,0,"1,307.32"
Austria,360.67,"1,846.20",2.49,0.39,4.68,0.26,"2,214.69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0.85,0.12,0.31,0.01,0.43,0.28,0,0.11,0.46,0,0,0,2.58,,,,,,,,,-,-,-,-,,-,,,-,"2,217.26",,Austria,133.93,854.24,4.71,0.73,6.83,0.62,"1,001.06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"1,001.06"
Azerbaijan,191.18,"38,012.84",26.47,4.1,92.37,31.45,"38,358.41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,,,0,0,,0,0,0.1,0.1,126.59,0.29,53.71,0.99,54.68,53.04,8.59,3.17,89.8,27.8,0,0,418.67,,,,,,,,,-,-,-,-,,-,,,-,"38,777.18",,Azerbaijan,"3,251.47","20,739.50",281.95,43.65,496.05,136.87,"24,949.49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.8,0.37,10.88,0.01,0.05,19.62,7.28,2.33,11.75,22.84,101.93,,,,,,,,,0,0,0,0,,0,,0,,,0,"25,051.42"
Bahamas,90.92,147.71,0,0,0,0.19,238.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,-,-,-,-,,-,,,-,238.82,,Bahamas,19.21,122.55,1.58,0.25,2.24,2.86,148.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,148.69
Bahrain,30.41,"1,200.99",0,0,0,0.81,"1,232.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,10.06,0.08,4.25,0.08,4.38,4.16,0.65,0.29,7.08,2.1,0,0,33.13,,,,,,,,,-,-,-,-,,-,,,-,"1,265.33",,Bahrain,59.1,376.95,0,0,0,0,436.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.29,0.15,15.41,0,0,29.86,11.14,3.19,16.79,34.95,150.78,,,,,,,,,0,0,0,0,,0,,0,,,0,586.82
Bangladesh,"1,741.59","1,180,990.99",44.21,6.84,93.29,"1,296.23","1,184,173.15","8,316.68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,316.68","1,210.43",0,,,0,0,,0,0,"1,210.43","9,527.11",151.51,1.06,64,1.21,65.81,62.99,9.92,4.33,106.59,32.12,0,0,499.54,"4,555.82",,,"1,266.77",,269.43,,,"4,555.82","1,266.77",269.43,"6,092.03",,-,492.56,,492.56,"1,209,101.07",,Bangladesh,"69,911.68","445,931.57","13,949.69","2,159.66","51,182.18","2,412.64","585,547.42","24,896.72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24,896.72","1,868.37",0,0,0,0,0,0,0,0,"1,868.37","26,765.09",99.37,5.12,44.06,0.18,0.84,64.17,23.03,10.73,46.39,72.72,366.61,"77,641.90",,"77,641.90",,,545,,-,"155,283.79",0,545,"155,828.80",,0,,0,2.99,0.64,3.62,"768,511.54"
Barbados,19.14,58.52,0,0,0,0.06,77.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,7.87,0.17,5.91,0.03,0.4,5.06,0.48,0.22,0.32,1.99,0.83,0.02,23.29,,,,,,,,,-,-,-,-,,-,,,-,101,,Barbados,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.03,0.06,5.89,0,0,11.42,4.26,1.22,6.42,13.37,57.68,,,,,,,,,0,0,0,0,,0,,0,,,0,57.78
Belarus,589.99,"23,563.78",45.68,7.07,98.93,56.41,"24,361.86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,302.5,0.68,128.77,2.3,130.94,125.11,20.03,7.36,215.41,65.15,0,0,998.27,,,,,,,,,-,-,-,-,,-,,,-,"25,360.13",,Belarus,"1,152.93","7,353.99","1,532.38",237.24,"2,232.38",143.49,"12,652.41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.08,0.98,54.22,0.02,0.08,101.69,38.04,11.52,58.84,119.1,520.56,,,,,,,,,0,0,0,0,,0,,0,,,0,"13,172.97"
Belgium,167.17,"3,497.07",3.24,0.5,8.25,0.28,"3,676.51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,8.54,1.17,3.12,0.1,4.34,2.83,0,1.1,4.57,0.01,0,0,25.78,,,,,,,,,-,-,-,-,,-,,,-,"3,702.30",,Belgium,183.44,"1,170.08",6.04,0.93,7.38,0.51,"1,368.39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"1,368.39"
Belize,80.89,481.95,0,0,0,0.39,563.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05,0,,,0,0,,0,0,3.05,3.05,107.48,2.22,81.49,0.55,5.27,69.31,6.32,3.1,4.61,26.46,11.02,0.33,318.15,,,,,,,,,-,-,-,-,,-,,,-,884.44,,Belize,67.95,433.43,0,0,0,0.75,502.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,0,0,0,0,0,0,0,0,1.66,1.66,15.18,0.61,6.66,0.02,0.1,10.11,3.64,1.48,7.05,11.5,56.35,,,,,,,,,0,0,0,0,,0,,0,,,0,560.15
Benin,"10,743.57","88,294.70",4.91,0.76,11.49,1.41,"99,056.84","1,113,537.79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,113,537.79",0,0,,,0,0,,0,0,0,"1,113,537.79","1,339.73",26.73,561.33,10.88,592.6,536.05,76.13,50.51,925.3,248.89,0,0,"4,368.15",,,,,,,,,-,-,-,-,724.42,724.42,,11.47,11.47,"2,331,236.46",,Benin,"12,826.56","81,814.18",123.49,19.12,"1,330.01",52.8,"96,166.15","154,711.80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"154,711.80",0,0,0,0,0,0,0,0,0,0,"154,711.80",413.85,26.82,188.93,0.95,4.48,255.82,89.4,46.08,197.52,284.59,"1,508.45",,,,,,,,,0,0,0,0,"5,016.32","5,016.32",0.21,0.21,,10.58,10.58,"257,413.51"
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,-,-,-,-,,-,,,-,0,,Bermuda,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0.36,0,0,0.69,0.26,0.07,0.39,0.81,3.48,,,,,,,,,0,0,0,0,,0,,0,,,0,3.49
Bhutan,962.64,"4,927.60",1.56,0.24,3.27,1.07,"5,896.39",14.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.82,17.93,0,,,0,0,,0,0,17.93,32.75,5.43,0.03,2.29,0.04,2.35,2.29,0.37,0.16,3.81,1.18,0,0,17.97,,,,,,,,,-,-,-,-,,-,,,-,"5,961.92",,Bhutan,721.25,"4,600.51",33.21,5.14,47.12,3.06,"5,410.31",113.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.92,170.38,0,0,0,0,0,0,0,0,170.38,284.3,1.05,0,0.41,0,0,0.8,0.3,0.09,0.45,0.93,4.04,,,,,,,,,0,0,0,0,,0,,0,,,0,"5,698.65"
Bolivia,"3,280.66","68,180.76",0,0,0,47.24,"71,508.65",0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0,3.24,44.5,0,,,0,0,,0,0,44.5,47.74,882.3,19.98,645.79,1.52,47.62,566.01,56.54,23.02,28.2,236.83,98.81,0.9,"2,607.52",,,,47.95,7.69,,,,-,55.64,-,55.64,,-,,,-,"74,222.80",,Bolivia,"3,284.75","20,951.77",92.35,14.3,123.49,29.53,"24,496.18",0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0.49,53.23,0,0,0,0,0,0,0,0,53.23,53.71,30.03,0.1,11.53,0,0,23.29,8.48,2.2,12.61,26.93,115.18,,,,,,,,,0,0,0,0,,0,,0,,,0,"24,665.07"
"Bonaire, Saint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,-,-,-,-,,-,,,-,0,,"Bonaire, Saint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,0
Bosnia and Herzegovina,0,"7,524.55",0.86,0.13,1.23,0.67,"7,527.45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0.41,0.06,0.15,0,0.21,0.14,0,0.05,0.22,0,0,0,1.25,,,,,,,,,-,-,-,-,,-,,,-,"7,528.70",,Bosnia and Herzegovina,394.05,"2,513.44",2.33,0.36,2.93,0.2,"2,913.30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"2,913.30"
